Gaze point: [-0.33335, 0.596302]
Gaze point: [-0.332751, 0.597963]
Gaze point: [-0.332756, 0.597559]
Gaze point: [-0.332482, 0.598336]
Gaze point: [-0.332621, 0.599632]
Gaze point: [-0.332441, 0.601123]
Gaze point: [-0.332248, 0.600656]
Gaze point: [-0.33214, 0.600716]
Gaze point: [-0.332191, 0.600287]
Gaze point: [-0.331874, 0.598004]
Gaze point: [-0.332115, 0.597316]
Gaze point: [-0.327202, 0.596932]
Gaze point: [-0.314206, 0.593434]
Gaze point: [-0.298297, 0.590912]
Gaze point: [-0.28341, 0.591425]
Gaze point: [-0.270298, 0.589411]
Gaze point: [-0.260781, 0.593566]
Gaze point: [-0.253425, 0.599067]
Gaze point: [-0.247115, 0.603586]
Gaze point: [-0.242171, 0.604871]
Gaze point: [-0.238378, 0.606507]
Gaze point: [-0.235535, 0.607826]
Gaze point: [-0.232861, 0.607571]
Gaze point: [-0.226458, 0.607939]
Gaze point: [-0.218715, 0.607851]
Gaze point: [-0.212121, 0.605865]
Gaze point: [-0.206637, 0.602405]
Gaze point: [-0.202443, 0.600931]
Gaze point: [-0.199363, 0.600061]
Gaze point: [-0.1966, 0.597643]
Gaze point: [-0.179839, 0.596955]
Gaze point: [-0.156727, 0.597025]
Gaze point: [-0.133698, 0.595139]
Gaze point: [-0.115492, 0.589437]
Gaze point: [-0.103745, 0.588947]
Gaze point: [-0.094812, 0.588335]
Gaze point: [-0.0832241, 0.585261]
Gaze point: [-0.0798168, 0.585316]
Gaze point: [-0.0765755, 0.584335]
Gaze point: [-0.0650566, 0.579301]
Gaze point: [-0.0522665, 0.579913]
Gaze point: [-0.0422299, 0.58686]
Gaze point: [-0.0344332, 0.589955]
Gaze point: [-0.0268167, 0.594482]
Gaze point: [-0.0204502, 0.601866]
Gaze point: [-0.0163804, 0.60442]
Gaze point: [-0.0105586, 0.611251]
Gaze point: [0.00873685, 0.614506]
Gaze point: [0.0282235, 0.615426]
Gaze point: [0.0430424, 0.615985]
Gaze point: [0.055465, 0.619162]
Gaze point: [0.0646818, 0.620309]
Gaze point: [0.0707643, 0.620767]
Gaze point: [0.0756719, 0.621078]
Gaze point: [0.0791276, 0.620304]
Gaze point: [0.0832939, 0.619329]
Gaze point: [0.103251, 0.614393]
Gaze point: [0.126812, 0.610225]
Gaze point: [0.14438, 0.606615]
Gaze point: [0.159085, 0.606183]
Gaze point: [0.170532, 0.60597]
Gaze point: [0.178437, 0.606009]
Gaze point: [0.184383, 0.600174]
Gaze point: [0.1897, 0.599465]
Gaze point: [0.192624, 0.59898]
Gaze point: [0.194931, 0.597886]
Gaze point: [0.196691, 0.597885]
Gaze point: [0.198648, 0.599621]
Gaze point: [0.20172, 0.604767]
Gaze point: [0.208786, 0.607815]
Gaze point: [0.216876, 0.610312]
Gaze point: [0.224167, 0.611181]
Gaze point: [0.229782, 0.612102]
Gaze point: [0.234473, 0.613433]
Gaze point: [0.23848, 0.613782]
Gaze point: [0.2436, 0.616707]
Gaze point: [0.245276, 0.612687]
Gaze point: [0.247651, 0.60995]
Gaze point: [0.248999, 0.611269]
Gaze point: [0.249761, 0.611462]
Gaze point: [0.251035, 0.611565]
Gaze point: [0.252827, 0.61165]
Gaze point: [0.243826, 0.608854]
Gaze point: [0.137634, 0.600095]
