Gaze point: [-0.306683, 0.0651053]
Gaze point: [-0.257238, 0.0642538]
Gaze point: [-0.217833, 0.0626893]
Gaze point: [-0.189812, 0.0675145]
Gaze point: [-0.168911, 0.0697697]
Gaze point: [-0.155921, 0.0728486]
Gaze point: [-0.144294, 0.0722027]
Gaze point: [-0.1422, 0.0686707]
Gaze point: [-0.140248, 0.0668466]
Gaze point: [-0.135435, 0.0668952]
Gaze point: [-0.112223, 0.0679427]
Gaze point: [-0.0862479, 0.070161]
Gaze point: [-0.0663754, 0.0762887]
Gaze point: [-0.0511751, 0.0773259]
Gaze point: [-0.0392978, 0.079041]
Gaze point: [-0.0294341, 0.0790892]
Gaze point: [-0.02136, 0.0819974]
Gaze point: [-0.0159613, 0.0824149]
Gaze point: [-0.0125664, 0.0814874]
Gaze point: [-0.00989175, 0.0823065]
Gaze point: [-0.00913191, 0.0807745]
Gaze point: [-0.00706011, 0.0790904]
Gaze point: [-0.00618422, 0.076782]
Gaze point: [0.00345325, 0.0757548]
Gaze point: [0.0176072, 0.0741553]
Gaze point: [0.0296745, 0.07384]
Gaze point: [0.0400473, 0.0741971]
Gaze point: [0.0511553, 0.0762537]
Gaze point: [0.0584631, 0.076387]
Gaze point: [0.0650682, 0.0764562]
Gaze point: [0.0692538, 0.0762489]
Gaze point: [0.104006, 0.0785808]
Gaze point: [0.15885, 0.082862]
Gaze point: [0.206089, 0.0906607]
Gaze point: [0.239104, 0.0937781]
Gaze point: [0.262588, 0.0972089]
Gaze point: [0.279478, 0.0976006]
Gaze point: [0.290048, 0.0968354]
Gaze point: [0.298252, 0.0953495]
Gaze point: [0.30263, 0.0972662]
Gaze point: [0.306348, 0.101228]
Gaze point: [0.317935, 0.100995]
Gaze point: [0.332178, 0.100883]
Gaze point: [0.356214, 0.105699]
Gaze point: [0.363518, 0.109488]
Gaze point: [0.369016, 0.108698]
Gaze point: [0.373839, 0.110085]
Gaze point: [0.378029, 0.112046]
Gaze point: [0.381923, 0.110859]
Gaze point: [0.386592, 0.111033]
Gaze point: [0.392567, 0.110423]
Gaze point: [0.405688, 0.116606]
Gaze point: [0.410652, 0.117678]
Gaze point: [0.414503, 0.117555]
Gaze point: [0.41861, 0.117976]
Gaze point: [0.40834, 0.112171]
Gaze point: [0.265095, 0.0784521]
Gaze point: [-0.269636, -0.00432754]
Gaze point: [-0.375565, -0.0245665]
Gaze point: [-0.42118, -0.0350461]
Gaze point: [-0.441875, -0.0344676]
Gaze point: [-0.454704, -0.0348227]
Gaze point: [-0.46219, -0.0386419]
Gaze point: [-0.467833, -0.034622]
Gaze point: [-0.471092, -0.0361559]
Gaze point: [-0.470979, -0.0361775]
Gaze point: [-0.448953, -0.0371345]
Gaze point: [-0.436497, -0.0385791]
Gaze point: [-0.429092, -0.0392429]
Gaze point: [-0.417463, -0.0402883]
Gaze point: [-0.403503, -0.0416186]
Gaze point: [-0.388585, -0.0428691]
Gaze point: [-0.364581, -0.0442562]
Gaze point: [-0.309242, -0.0383379]
Gaze point: [-0.254596, -0.0376844]
Gaze point: [-0.215781, -0.0404552]
Gaze point: [-0.190069, -0.0330095]
Gaze point: [-0.171911, -0.0274287]
Gaze point: [-0.16236, -0.0300015]
Gaze point: [-0.155478, -0.0318196]
Gaze point: [-0.149964, -0.0310655]
Gaze point: [-0.117411, -0.0302937]
Gaze point: [-0.0742915, -0.031975]
Gaze point: [-0.0428237, -0.0353308]
Gaze point: [-0.0208395, -0.0371881]
Gaze point: [-0.00345063, -0.0351317]
Gaze point: [0.00907958, -0.033576]
Gaze point: [0.0176575, -0.036443]
Gaze point: [0.0211444, -0.0352105]
Gaze point: [0.0255826, -0.0344884]
Gaze point: [0.0366464, -0.035899]
Gaze point: [0.0732291, -0.028802]
Gaze point: [0.113025, -0.0160019]
Gaze point: [0.126429, -0.019645]
Gaze point: [0.138961, -0.0199361]
Gaze point: [0.152152, -0.0248219]
Gaze point: [0.157762, -0.0257912]
Gaze point: [0.162618, -0.0229819]
Gaze point: [0.164568, -0.0231999]
Gaze point: [0.182929, -0.0226321]
Gaze point: [0.217368, -0.0187838]
Gaze point: [0.245879, -0.0223469]
Gaze point: [0.271215, -0.0256345]
Gaze point: [0.29134, -0.0230306]
Gaze point: [0.304327, -0.0210173]
Gaze point: [0.313622, -0.0190685]
Gaze point: [0.319483, -0.0170131]
Gaze point: [0.324157, -0.0144422]
Gaze point: [0.326004, -0.0147073]
Gaze point: [0.328104, -0.0148127]
Gaze point: [0.330194, -0.016763]
Gaze point: [0.331849, -0.0163463]
Gaze point: [0.332912, -0.0148294]
Gaze point: [0.335031, -0.0121773]
Gaze point: [0.347275, -0.0567458]
Gaze point: [0.386237, -0.277645]
Gaze point: [0.418293, -0.485775]
Gaze point: [0.441033, -0.603732]
Gaze point: [0.447763, -0.664628]
Gaze point: [0.451926, -0.697059]
Gaze point: [0.452093, -0.711047]
Gaze point: [0.455849, -0.72032]
Gaze point: [0.455255, -0.727908]
Gaze point: [0.454345, -0.732243]
Gaze point: [0.454712, -0.734163]
Gaze point: [0.454626, -0.738397]
Gaze point: [0.454583, -0.740426]
Gaze point: [0.452929, -0.739249]
Gaze point: [0.451441, -0.737172]
